iter	Passed	Remaining
0	1	163
1	3	149
2	4	141
3	5	131
4	6	129
5	8	127
6	9	125
7	10	123
8	12	121
9	13	119
10	14	118
11	15	116
12	17	115
13	18	113
14	19	112
15	21	111
16	22	109
17	23	108
18	25	106
19	26	105
20	27	103
21	28	102
22	30	100
23	31	99
24	32	98
25	34	97
26	35	96
27	36	94
28	38	93
29	39	91
30	40	90
31	41	89
32	43	87
33	44	86
34	45	85
35	47	83
36	48	82
37	49	81
38	51	79
39	52	78
40	53	77
41	54	74
42	55	73
43	56	72
44	58	70
45	59	69
46	60	68
47	61	67
48	63	65
49	64	64
50	65	63
51	67	61
52	68	60
53	69	59
54	70	57
55	71	56
56	73	55
57	74	53
58	75	52
59	76	51
60	78	50
61	79	48
62	80	47
63	82	46
64	83	44
65	84	43
66	86	42
67	87	41
68	88	39
69	89	38
70	91	37
71	92	35
72	93	34
73	95	33
74	96	32
75	97	30
76	98	29
77	100	28
78	101	26
79	102	25
80	104	24
81	105	23
82	107	21
83	108	20
84	109	19
85	110	18
86	112	16
87	113	15
88	114	14
89	115	12
90	117	11
91	118	10
92	120	9
93	122	7
94	124	6
95	125	5
96	126	3
97	127	2
98	129	1
99	130	0
