iter	Passed	Remaining
0	149	148902
1	151	75669
2	154	51222
3	156	39001
4	159	31674
5	161	26807
6	164	23322
7	166	20687
8	169	18639
9	171	16997
10	175	15759
11	177	14634
12	180	13676
13	182	12866
14	185	12167
15	189	11664
16	192	11108
17	194	10612
18	197	10171
19	199	9757
20	201	9416
21	203	9067
22	206	8787
23	209	8517
24	212	8271
25	214	8039
26	217	7833
27	219	7630
28	222	7441
29	224	7268
30	227	7101
31	230	6983
32	242	7102
33	246	6998
34	248	6860
35	251	6730
36	253	6603
37	256	6484
38	258	6369
39	262	6295
40	264	6193
41	267	6094
42	269	6002
43	272	5922
44	277	5896
45	280	5817
46	282	5736
47	285	5660
48	288	5589
49	290	5525
50	293	5458
51	295	5390
52	298	5325
53	300	5262
54	302	5202
55	305	5151
56	307	5094
57	309	5034
58	311	4973
59	313	4912
60	315	4854
61	317	4798
62	320	4763
63	323	4724
64	325	4687
65	328	4647
66	330	4607
67	334	4586
68	337	4550
69	339	4512
70	342	4475
71	344	4438
72	346	4403
73	349	4377
74	352	4346
75	354	4315
76	357	4284
77	359	4252
78	362	4222
79	365	4207
80	368	4182
81	371	4154
82	372	4112
83	374	4085
84	377	4059
85	392	4173
86	397	4168
87	399	4143
88	402	4124
89	407	4116
90	428	4280
91	433	4277
92	435	4251
93	438	4225
94	444	4230
95	457	4306
96	462	4303
97	464	4279
98	467	4254
99	471	4245
100	476	4242
101	478	4216
102	482	4201
103	487	4201
104	494	4217
105	497	4197
106	502	4191
107	506	4182
108	508	4160
109	511	4141
110	514	4119
111	516	4097
112	547	4293
113	558	4338
114	560	4315
115	564	4303
116	566	4276
117	569	4259
118	572	4236
119	574	4214
120	577	4193
121	579	4172
122	582	4155
123	590	4169
124	592	4149
125	596	4139
126	600	4127
127	603	4108
128	605	4089
129	608	4069
130	610	4048
131	612	4028
132	615	4011
133	618	3996
134	621	3979
135	631	4013
136	634	3996
137	636	3977
138	638	3956
139	640	3935
140	642	3916
141	644	3896
142	647	3881
143	650	3865
144	652	3850
145	655	3836
146	659	3826
147	661	3809
148	664	3793
149	666	3776
150	668	3760
151	671	3743
152	706	3910
153	708	3894
154	711	3878
155	714	3865
156	717	3851
157	719	3836
158	722	3822
159	725	3807
160	727	3788
161	729	3774
162	732	3762
163	749	3819
164	755	3821
165	757	3806
166	760	3791
167	762	3776
168	764	3761
169	767	3747
170	770	3734
171	772	3720
172	776	3713
173	802	3810
174	805	3795
175	807	3782
176	810	3767
177	812	3753
178	815	3741
179	818	3728
180	821	3715
181	823	3701
182	826	3688
183	829	3676
184	833	3673
185	847	3709
186	850	3697
187	852	3684
188	855	3670
189	858	3659
190	860	3645
191	863	3633
192	865	3620
193	868	3607
194	870	3593
195	872	3580
196	879	3585
197	882	3575
198	885	3562
199	887	3550
200	914	3636
201	917	3623
202	919	3610
203	922	3598
204	927	3596
205	930	3585
206	932	3572
207	969	3693
208	972	3682
209	975	3669
210	978	3657
211	980	3644
212	983	3632
213	985	3619
214	988	3610
215	991	3597
216	993	3584
217	995	3569
218	996	3554
219	998	3540
220	1002	3534
221	1005	3522
222	1007	3511
223	1010	3500
224	1012	3488
225	1015	3477
226	1018	3467
227	1020	3456
228	1023	3445
229	1025	3434
230	1028	3422
231	1031	3414
232	1034	3404
233	1036	3393
234	1039	3382
235	1041	3371
236	1043	3360
237	1046	3350
238	1048	3339
239	1051	3329
240	1054	3319
241	1069	3349
242	1071	3339
243	1074	3329
244	1077	3319
245	1080	3310
246	1083	3303
247	1086	3293
248	1098	3311
249	1100	3302
250	1103	3292
251	1107	3286
252	1109	3276
253	1112	3266
254	1115	3257
255	1117	3248
256	1120	3240
257	1123	3230
258	1126	3221
259	1129	3214
260	1133	3210
261	1136	3201
262	1139	3192
263	1141	3183
264	1144	3174
265	1160	3201
266	1164	3196
267	1166	3186
268	1169	3177
269	1201	3247
270	1203	3238
271	1206	3229
272	1209	3221
273	1213	3214
274	1215	3205
275	1218	3195
276	1220	3185
277	1223	3178
278	1234	3190
279	1237	3181
280	1243	3181
281	1245	3172
282	1248	3162
283	1250	3153
284	1253	3144
285	1256	3135
286	1317	3273
287	1320	3264
288	1323	3255
289	1326	3247
290	1329	3239
291	1333	3234
292	1336	3225
293	1339	3217
294	1342	3208
295	1344	3198
296	1347	3189
297	1349	3179
298	1352	3171
299	1367	3191
300	1373	3188
301	1375	3179
302	1378	3170
303	1380	3160
304	1383	3151
305	1391	3156
306	1394	3147
307	1397	3140
308	1401	3133
309	1404	3126
310	1449	3211
311	1453	3204
312	1455	3195
313	1458	3186
314	1461	3177
315	1463	3168
316	1468	3163
317	1471	3155
318	1473	3146
319	1476	3137
320	1479	3129
321	1516	3192
322	1520	3187
323	1530	3193
324	1533	3184
325	1535	3175
326	1540	3170
327	1543	3161
328	1546	3155
329	1549	3145
330	1551	3136
331	1554	3127
332	1557	3119
333	1588	3167
334	1591	3159
335	1596	3154
336	1598	3145
337	1601	3135
338	1603	3126
339	1606	3119
340	1610	3112
341	1613	3103
342	1615	3094
343	1617	3085
344	1634	3103
345	1637	3094
346	1641	3088
347	1643	3079
348	1645	3070
349	1648	3061
350	1650	3052
351	1653	3043
352	1657	3037
353	1659	3028
354	1662	3019
355	1665	3012
356	1667	3003
357	1673	3001
358	1676	2992
359	1679	2985
360	1682	2977
361	1684	2969
362	1689	2965
363	1692	2957
364	1696	2950
365	1698	2942
366	1721	2968
367	1725	2962
368	1727	2954
369	1730	2946
370	1735	2941
371	1737	2933
372	1740	2925
373	1742	2916
374	1745	2908
375	1748	2902
376	1751	2894
377	1772	2917
378	1775	2909
379	1778	2901
380	1780	2892
381	1795	2904
382	1798	2897
383	1800	2889
384	1803	2880
385	1806	2873
386	1808	2864
387	1814	2862
388	1817	2854
389	1819	2846
390	1822	2838
391	1824	2830
392	1827	2822
393	1830	2815
394	1832	2807
395	1835	2799
396	1837	2790
397	1839	2782
398	1842	2775
399	1845	2767
400	1847	2760
401	1850	2752
402	1852	2744
403	1854	2736
404	1856	2727
405	1860	2721
406	1862	2713
407	1864	2705
408	1866	2696
409	1868	2688
410	1870	2681
411	1876	2678
412	1878	2670
413	1881	2663
